date,stock_refill,item_id
2019-10-01,4.0,item_0
2019-10-02,154.0,item_0
2019-10-03,202.0,item_0
2019-10-04,78.0,item_0
2019-10-05,14.0,item_0
2019-10-06,69.0,item_0
2019-10-07,144.0,item_0
2019-10-08,254.0,item_0
2019-10-09,5.0,item_0
2019-10-10,201.0,item_0
2019-10-11,8.0,item_0
2019-10-12,114.0,item_0
2019-10-13,270.0,item_0
2019-10-14,118.0,item_0
2019-10-15,347.0,item_0
2019-10-16,255.0,item_0
2019-10-17,93.0,item_0
2019-10-18,47.0,item_0
2019-10-19,73.0,item_0
2019-10-20,168.0,item_0
2019-10-21,242.0,item_0
2019-10-22,76.0,item_0
2019-10-23,337.0,item_0
2019-10-24,450.0,item_0
2019-10-25,238.0,item_0
2019-10-26,254.0,item_0
2019-10-27,354.0,item_0
2019-10-28,188.0,item_0
2019-10-29,9.0,item_0
2019-10-30,0.4418569659537752,item_0
2019-10-31,0.0,item_0
2019-11-01,216.0,item_0
2019-11-02,271.0,item_0
2019-11-03,91.0,item_0
2019-11-04,25.0,item_0
2019-11-05,100.0,item_0
2019-11-06,173.0,item_0
2019-11-07,200.0,item_0
2019-11-08,292.0,item_0
2019-11-09,268.0,item_0
2019-11-10,23.0,item_0
2019-11-11,133.0,item_0
2019-11-12,217.0,item_0
2019-11-13,242.0,item_0
2019-11-14,94.0,item_0
2019-11-15,41.0,item_0
2019-11-16,150.0,item_0
2019-11-17,224.0,item_0
2019-11-18,243.0,item_0
2019-11-19,187.0,item_0
2019-11-20,27.0,item_0
2019-11-21,38.0,item_0
2019-11-22,24.0,item_0
2019-11-23,50.0,item_0
2019-11-24,154.0,item_0
2019-11-25,241.0,item_0
2019-11-26,224.0,item_0
2019-11-27,167.0,item_0
2019-11-28,43.0,item_0
2019-11-29,8.16364755266386,item_0
2019-11-30,0.0,item_0
2019-12-01,125.0,item_0
2019-12-02,133.0,item_0
2019-12-03,263.0,item_0
2019-12-04,223.0,item_0
2019-12-05,262.0,item_0
