dates,sales,marketing_spend,price,item_id
2023-07-01,3852.353725310581,0.0,8.746500254026312,item_0
2023-08-01,4297.541114146997,0.0,8.746500254026312,item_0
2023-09-01,4825.323774720723,0.0,8.746500254026312,item_0
2023-10-01,4265.2287791432,0.6952928401149139,8.746500254026312,item_0
2023-11-01,3528.9361230449795,0.9553277568974448,8.309175241324995,item_0
2023-12-01,9011.49078392568,0.9097326847376812,8.309175241324995,item_0
2023-07-01,364.2191601717112,0.0,19.0837737033802,item_1
2023-08-01,468.61691866820746,0.0,19.0837737033802,item_1
2023-09-01,367.3088315003493,0.0,19.0837737033802,item_1
2023-10-01,258.02645052439686,0.0,19.0837737033802,item_1
2023-11-01,651.7508182619108,0.5220405458388888,20.03796238854921,item_1
2023-12-01,342.73821546105523,0.8710911836858601,20.03796238854921,item_1
2023-07-01,4625.62310659275,0.0,15.197849108958591,item_2
2023-08-01,4430.650502549365,0.0,15.197849108958591,item_2
2023-09-01,5793.420001664519,0.0,15.197849108958591,item_2
2023-10-01,5386.745953016096,0.873445425364809,15.197849108958591,item_2
2023-11-01,6656.30873298148,0.0,15.957741564406522,item_2
2023-12-01,7934.138463715856,0.0,15.957741564406522,item_2
2023-07-01,4909.853204472209,0.0,8.687531210429132,item_3
2023-08-01,3484.185653488901,0.0,8.687531210429132,item_3
2023-09-01,3924.8831209377136,0.0,8.687531210429132,item_3
2023-10-01,3986.904059068087,0.0,8.687531210429132,item_3
2023-11-01,4059.394292336768,0.0,8.253154649907675,item_3
2023-12-01,4598.758717702482,0.7598312464395598,8.253154649907675,item_3
2023-07-01,2609.7228010021977,0.0,13.84178447635809,item_4
2023-08-01,3688.7732018632714,0.57648256189087,13.84178447635809,item_4
2023-09-01,4631.89740753981,0.9380991857014136,13.84178447635809,item_4
2023-10-01,3630.7210214039615,0.0,13.84178447635809,item_4
2023-11-01,4910.230123517282,0.0,13.149695252540184,item_4
2023-12-01,5780.608710539173,0.0,13.149695252540184,item_4
2023-07-01,3098.3517028056813,0.0,13.070041839170344,item_5
2023-08-01,6556.332964772858,0.0,13.070041839170344,item_5
2023-09-01,4299.07187476239,0.8656799678828428,13.070041839170344,item_5
